"topic","databaseName","dat","variableName","var","defaultVariable","defaultClass","infoURL","defaultVer"
NA,"Code, used data and supplementary items for the articled Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics","SOM-kocsis-provinciality","S6. Interpolated  temperature  reconstructions  based  on  the  HadCM3L  climate  models  and  the PaleoMAP Paleocoastlines","sstinter",TRUE,"RasterArray","http://www.chronosphere-portal.org/","v1.0"
NA,"Repository for: Reddin et al. 2020. Marine clade sensitivities to climate change conform across time scales","SOM-reddin-sensitivity","Modern metaanalysis support data","modern",TRUE,"data.frame","http://www.chronosphere-portal.org/","Version 1"
"Paleogeography","The PALEOMAP project","paleomap","PaleoMAP Paleodigital Elevation Models","dem",TRUE,"RasterArray","wwww.chronosphere-portal.org/placeholder","20180801"
"Paleogeography","The PALEOMAP project","paleomap","Plate tectonic reconstruction","model",FALSE,"platemodel","wwww.chronosphere-portal.org/placeholder","v19o_r1c"
"fossils","The Paleobiology Database","pbdb","Basic denormalized occurrence table (chronosphere)","base",FALSE,"data.frame","https://chronosphere-portal.github.io/docs/pbdb/","20200217"
"Geography","Natural Earth","NaturalEarth","Land polygons including major islands","land",TRUE,"sf","http://www.chronosphere-portal.org/docs/NaturalEarth/","4.1.0"
"fossils","The Paleobiology Database","pbdb","Basic denormalized occurrence table with references","baseref",FALSE,"data.frame","https://chronosphere-portal.github.io/docs/pbdb/","20200909"
"fossils","The Paleobiology Database","pbdb","Basic denormalized occurrence table with references, updated with abundance data","base3",TRUE,"data.frame","https://chronosphere-portal.github.io/docs/pbdb/","20210518"
"traits","Coral Trait Database","CoralTraitDB","Trait data","data",TRUE,"data.frame","https://chronosphere-portal.github.io/docs/pbdb/","1.1.1"
"bioregionalization","Marine Ecoregions of the World","MEOW","A Bioregionalization of Coastal and Shelf Areas","vector",TRUE,"sf","https://chronosphere-portal.github.io/docs/pbdb/","20070701"
"biogeography","BioDeepTime","biodeeptime","Denormalized biogeographic observations","denormalized",TRUE,"data.frame","","0.6"
"fossils","Triton Database","triton","Full version, with duplicates","full",FALSE,"data.frame","https://chronosphere-portal.github.io/","1"
"fossils","Triton Database","triton","No-rounding","no-rounding",FALSE,"data.frame","https://chronosphere-portal.github.io/","1"
"fossils","Triton Database","triton","As in publication","main",TRUE,"data.frame","https://chronosphere-portal.github.io/","1"
"Paleogeography","The continent fragmentation results of Zaffos et al. 2017","SOM-zaffos-fragmentation","Continent fragmentation index","fragment",TRUE,"data.frame","https://chronosphere-portal.github.io/","20170424"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Both hotspot areas and outer limits","all",FALSE,"sf","http://www.chronosphere-portal.org/","2016.1"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Outer limits","outer",FALSE,"sf","http://www.chronosphere-portal.org/","2016.1"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Hotspot areas (all)","areas",TRUE,"sf","http://www.chronosphere-portal.org/","2016.1"
"Paleogeography","The PALEOMAP project","paleomap","Paleomap Paleocoastlines","paleocoastlines",FALSE,"SfcArray","wwww.chronosphere-portal.org/","7"
